name,link,rating,num_reviews,price,cuisine,district,num_bookings
International Smoke San Francisco,https://www.opentable.com/r/international-smoke-san-francisco,4.8,2461,$$,American,SOMA,40
District - San Francisco,https://www.opentable.com/r/district-san-francisco,4.8,196,$$$,Tapas / Small Plates,SOMA,0
Nopa - San Francisco,https://www.opentable.com/r/nopa-san-francisco1,4.8,2592,$$,Californian,San Francisco,0
The Anchovy Bar,https://www.opentable.com/r/the-anchovy-bar-san-francisco,4.8,106,$$$$,Oyster Bar,San Francisco,0
Harris',https://www.opentable.com/r/harris-san-francisco,4.8,4036,$$$$,Steakhouse,Russian Hill,16
Ristorante Milano,https://www.opentable.com/r/ristorante-milano-san-francisco,4.8,1615,$$$,Italian,Russian Hill,15
Fiorella Polk,https://www.opentable.com/r/fiorella-polk-san-francisco,4.8,173,$$,Italian,Russian Hill,9
Chapeau,https://www.opentable.com/chapeau,4.8,3118,$$$$,French,Richmond District,29
Lokma,https://www.opentable.com/r/lokma-san-francisco,4.8,253,$$,Turkish,Richmond District,9
Fiorella Clement,https://www.opentable.com/r/fiorella-san-francisco,4.8,804,$$,Italian,Richmond District,29
Spruce,https://www.opentable.com/r/spruce-san-francisco,4.8,3877,$$$,Contemporary American,Presidio Heights,67
Troya,https://www.opentable.com/troya-mediterranean,4.8,400,$$,Mediterranean,Pacific Heights,17
Caffe Macaroni,https://www.opentable.com/caffe-macaroni,4.8,533,$$,Italian,North Beach,13
Baonecci Ristorante,https://www.opentable.com/baonecci-ristorante,4.8,745,$$$,Italian,North Beach,10
Luisa's Restaurant Wine bar since 1959,https://www.opentable.com/r/luisas-restaurant-wine-bar-since-1959-san-francisco,4.8,26,$$,Italian,North Beach,10
Lupa Trattoria,https://www.opentable.com/lupa-trattoria,4.8,771,$$,Italian,Noe Valley,21
Osso Steakhouse,https://www.opentable.com/osso-steakhouse,4.8,1829,$$$,Steakhouse,Nob Hill,59
Anchor Public Taps,https://www.opentable.com/r/anchor-public-taps-san-francisco,4.8,8,$$,Brewery,Mission Bay / South Beach,0
Burma Love,https://www.opentable.com/r/burma-love-san-francisco,4.8,7,$$,Burmese,Mission,35
Lolinda,https://www.opentable.com/r/lolinda-san-francisco,4.8,2131,$$,Argentinean,Mission,56
Urban Putt San Francisco,https://www.opentable.com/r/urban-putt-san-francisco-san-francisco,4.8,427,$$,American,Mission,66
Sushi Hon,https://www.opentable.com/r/sushi-hon-san-francisco,4.8,259,$$$$,Sushi,Mission,20
Foreign Cinema,https://www.opentable.com/r/foreign-cinema-san-francisco,4.8,7407,$$$,Californian,Mission,96
Pane e Vino Trattoria,https://www.opentable.com/pane-e-vino-trattoria,4.8,687,$$$,Italian,Marina / Cow Hollow / Presidio,51
Rose's Cafe,https://www.opentable.com/r/roses-cafe-san-francisco,4.8,407,$$,Californian,Marina / Cow Hollow / Presidio,27
Alegrias Food from Spain,https://www.opentable.com/alegrias-food-from-spain,4.8,825,$$,Tapas / Small Plates,Marina / Cow Hollow / Presidio,11
Boho,https://www.opentable.com/r/boho-san-francisco-1,4.8,304,$$,Contemporary American,Marina / Cow Hollow / Presidio,16
Gold Mirror Italian Restaurant,https://www.opentable.com/r/gold-mirror-italian-restaurant-san-francisco,4.8,750,$$$,Italian,Forest Hill / West Portal,15
Trestle,https://www.opentable.com/r/trestle-san-francisco,4.8,1611,$$,American,Financial District / Embarcadero,39
Perbacco,https://www.opentable.com/r/perbacco-san-francisco,4.8,6272,$$,Italian,Financial District / Embarcadero,44
La Fusion Restaurant,https://www.opentable.com/r/la-fusion-restaurant-san-francisco,4.8,1,$$,Latin American,Financial District / Embarcadero,0
KUSAKABE,https://www.opentable.com/kusakabe,4.8,336,$$$$,Sushi,Financial District / Embarcadero,0
Serafina SF,https://www.opentable.com/r/serafina-sf-san-francisco,4.8,66,$$$,Italian,Downtown / Union Square,27
Il Borgo,https://www.opentable.com/r/il-borgo-san-francisco,4.8,497,$$,Italian,Civic Center / Hayes Valley / Van Ness,8
Alamo Square Seafood Grill,https://www.opentable.com/alamo-square-seafood-grill,4.8,1466,$$,Seafood,Civic Center / Hayes Valley / Van Ness,0
Zuni Cafe,https://www.opentable.com/zuni-cafe,4.8,6669,$$$,Modern European,Civic Center / Hayes Valley / Van Ness,35
Poesia,https://www.opentable.com/r/poesia-san-francisco,4.8,1973,$$$,Italian,Castro,37
Thai Chef 2,https://www.opentable.com/r/thai-chef-2-san-francisco,4.8,3,$$,Thai,Castro,2
Uma Casa,https://www.opentable.com/r/uma-casa-san-francisco,4.8,39,$$$$,Portuguese,Bernal Heights,3
Pacific Catch - Sunset District,https://www.opentable.com/r/pacific-catch-sunset-district-san-francisco,4.7,1539,$$,Seafood,Sunset District,33
Amoura Restaurant,https://www.opentable.com/amoura-restaurant,4.7,318,$$,Mediterranean,South San Francisco,6
Basil Canteen @ 11th Street,https://www.opentable.com/basil-canteen,4.7,413,$$,Thai,SOMA,0
Bellota,https://www.opentable.com/r/bellota-san-francisco,4.7,1179,$$$,Spanish,SOMA,30
54 Mint,https://www.opentable.com/r/54-mint-san-francisco,4.7,2269,$$$,Italian,SOMA,38
Gyu-Kaku - San Francisco,https://www.opentable.com/r/gyu-kaku-san-francisco,4.7,10,$$,Japanese,SOMA,37
Palette,https://www.opentable.com/r/palette-san-francisco,4.7,120,$$$,Contemporary American,SOMA,67
Black Hammer Brewing,https://www.opentable.com/r/black-hammer-brewing-san-francisco,4.7,18,$$$,Brewery,SOMA,16
Benu,https://www.opentable.com/r/benu-san-francisco,4.7,1609,$$$$,Contemporary American,SOMA,0
ROOH San Francisco,https://www.opentable.com/r/rooh-san-francisco,4.7,871,$$$,Contemporary Indian,SOMA,0
Amarena,https://www.opentable.com/r/amarena-san-francisco,4.7,1011,$$$,Italian,Russian Hill,41
Abrazo,https://www.opentable.com/r/abrazo-san-francisco,4.7,143,$$$,Spanish,Russian Hill,49
